property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
32239397,1814 S UHL RD GLENN HEIGHTS TX 75154,4,2.0,1965,1978,9875,268538,Redfin Estimate,32.5559879,-96.8418524,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=32.5559879%2C-96.8418524&size=665x441&source=outdoor&client=gme-redfin&signature=ELH2caHNTNqBV0z6tfNrUyt_AI8='],75154
32091696,800 GODWIN AVE GLENN HEIGHTS TX 75154,3,2.0,2011,1723,43678,351948,Redfin Estimate,32.5521962,-96.8385965,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=800+Godwin+Ave%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=_xZt5aLUcgcZD_cE99XO3anSz7I='],75154
32091706,812 GODWIN AVE GLENN HEIGHTS TX 75154,4,1.0,1965,2142,176000,613259,Redfin Estimate,32.5521755,-96.8361468,['https://ssl.cdn-redfin.com/photo/90/mbphoto/918/genMid.13736918_0.jpg'],75154
32091714,1902 S UHL RD GLENN HEIGHTS TX 75154,3,2.0,1978,1436,19998,243919,Redfin Estimate,32.5549672,-96.841821,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1902+S+Uhl+Rd%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=i6kGZevhdZuRO9-nj-X_0XUnpjc='],75154
32239396,708 BARTON AVE GLENN HEIGHTS TX 75154,3,2.0,1995,1768,37710,309639,Redfin Estimate,32.5546831,-96.839769,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=708+Barton+Ave+Unit+A%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=yom6pt3Nr_Gxj3wdPOzG5mzUQl8='],75154
32091729,1901 LILLIAN AVE GLENN HEIGHTS TX 75154,3,1.0,1940,1812,44518,254078,Redfin Estimate,32.5551656,-96.835749,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1901+Lillian+Ave%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=xr5U3EK2yv-elg3v9VCxqXvMGl4='],75154
32091727,1911 LILLIAN AVE GLENN HEIGHTS TX 75154,3,1.0,1982,1527,45546,183492,Redfin Estimate,32.5538,-96.8357908,['https://ssl.cdn-redfin.com/photo/90/mbphoto/976/genMid.10383976_0.jpg'],75154
32091543,2004 LILLIAN AVE GLENN HEIGHTS TX 75154,2,1.0,1965,573,48151,193905,Redfin Estimate,32.5514291,-96.8349115,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2004+Lillian+Ave%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=k1s7Kl_sMr84Ih5D1swuWTtCRnk='],75154
32093900,2617 JILLS DR BALCH SPRINGS TX 75180,3,1.0,1953,1230,15181,174981,Redfin Estimate,32.7331715,-96.6369432,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2617+Jills+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=oP4X2DvQDb8cW9JXoR7TOSOGiN0='],75180
32093898,2625 JILLS DR BALCH SPRINGS TX 75180,3,1.0,1953,1783,15181,180718,Redfin Estimate,32.7328553,-96.6371102,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2625+Jills+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=VEp3MbF70rcAjx75GvCgOAG8Huw='],75180
32093883,2724 JILLS DR BALCH SPRINGS TX 75180,3,1.0,1953,840,15002,161631,Redfin Estimate,32.7310946,-96.6363588,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2724+Jills+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=3eT4jturwz0B5PitfOcUisc3c3s='],75180
32091550,1906 LILLIAN AVE GLENN HEIGHTS TX 75154,3,2.0,1950,1845,131120,446731,Redfin Estimate,32.5543149,-96.834409,['https://ssl.cdn-redfin.com/photo/90/mbphoto/054/genMid.14759054_0.jpg'],75154
32091700,708 GODWIN AVE GLENN HEIGHTS TX 75154,4,3.0,1981,2180,43612,359875,Redfin Estimate,32.5519474,-96.8399365,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=708+Godwin+Ave%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=Zw8nb5chxm54TU0Urcc4ZtHEeoA='],75154
32091703,1910 S UHL RD GLENN HEIGHTS TX 75154,3,2.0,2017,1930,19998,209408,Redfin Estimate,32.5538633,-96.8419047,['https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=1910+S+Uhl+Rd%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=Cr1FjWDO5Tm3Oi3pQN6Uv0ZlCYI='],75154
32091715,1904 S UHL RD GLENN HEIGHTS TX 75154,3,2.0,2019,1870,19998,203479,Redfin Estimate,32.5546988,-96.8419047,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1904+S+Uhl+Rd%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=fAn_iT33qxIhiRiWwUXK-gCIvME='],75154
32091531,711 BARTON AVE GLENN HEIGHTS TX 75154,3,3.0,1974,2925,43682,419483,Redfin Estimate,32.5557844,-96.8393293,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=711+Barton+Ave%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=shk7N3eC804ZnKS3GkEl-wy93dk='],75154
32091720,714 BARTON AVE GLENN HEIGHTS TX 75154,4,3.0,2018,2847,49998,325775,Redfin Estimate,32.5549505,-96.8384918,['https://ssl.cdn-redfin.com/photo/90/mbphoto/235/genMid.13094235_0.jpg'],75154
32091737,1919 LILLIAN AVE GLENN HEIGHTS TX 75154,3,1.5,1976,1460,43560,309175,Redfin Estimate,32.5527351,-96.8355605,['https://ssl.cdn-redfin.com/photo/90/mbphoto/675/genMid.10235675_0.jpg'],75154
32091526,1918 LILLIAN AVE GLENN HEIGHTS TX 75154,3,2.0,1965,1394,43412,220708,Redfin Estimate,32.5526741,-96.8346602,['https://ssl.cdn-redfin.com/photo/90/mbphoto/915/genMid.13964915_1.jpg'],75154
32093875,2712 JILLS DR BALCH SPRINGS TX 75180,3,1.0,1953,936,17250,136047,Redfin Estimate,32.731661,-96.6364423,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2712+Jills+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=JAbCGi3a07oZHcGQz1d-fQYVvzE='],75180
32093888,2701 JILLS DR BALCH SPRINGS TX 75180,2,1.0,1953,880,15181,140815,Redfin Estimate,32.7323224,-96.6370372,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2701+Jills+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=MshpA1UOngOHbKmAElP2Xu3fgX0='],75180
32093893,2713 JILLS DR BALCH SPRINGS TX 75180,3,1.0,1953,1200,15181,168185,Redfin Estimate,32.7317594,-96.6370687,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2713+Jills+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=ji87z0m8TZuLThpwbPBFvOW1GLI='],75180
32093922,2624 JILLS DR BALCH SPRINGS TX 75180,3,1.0,1953,1241,20761,261635,Redfin Estimate,32.732879,-96.6362273,['https://ssl.cdn-redfin.com/photo/90/mbphoto/464/genMid.11730464_4.jpg'],75180
32091691,700 GODWIN AVE GLENN HEIGHTS TX 75154,3,2.0,1983,1544,43543,319781,Redfin Estimate,32.5523166,-96.8412347,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=700+Godwin+Ave%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=4s1mg3Kb8vrtFCVJnZ_c8nwxnYE='],75154
32091707,1918 S UHL RD GLENN HEIGHTS TX 75154,4,3.0,2016,2708,19998,258319,Redfin Estimate,32.5527684,-96.841821,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1918+S+Uhl+Rd%2C+Glenn+Heights%2C+TX+75154&size=665x441&source=outdoor&client=gme-redfin&signature=XFdTPj5eh4c4jICDV5YPAfF7Dj4='],75154
32090333,403 LAKESIDE RD BALCH SPRINGS TX 75181,3,2.0,1956,1992,100624,276373,Redfin Estimate,32.7197888,-96.5909146,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=403+Lakeside+Rd%2C+Balch+Springs%2C+TX+75181&size=665x441&source=outdoor&client=gme-redfin&signature=0sSInaO_egcmyM8ckgoF8iUPaJE='],75181
32093642,5423 ARROWDELL RD BALCH SPRINGS TX 75180,4,2.5,2022,3073,81649,598344,Redfin Estimate,32.692142,-96.623332,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=5423+Arrowdell+Rd%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=6Q2P8ES1PRUcYhJ0k_U5BNg9ea4='],75180
32093651,11827 THORNDALE RD BALCH SPRINGS TX 75180,3,2.0,1984,1620,21000,271019,Redfin Estimate,32.6986254,-96.6207898,['https://ssl.cdn-redfin.com/photo/90/mbphoto/706/genMid.14008706_0.jpg'],75180
32093650,11815 THORNDALE RD BALCH SPRINGS TX 75180,3,2.0,1973,1733,43264,313980,Redfin Estimate,32.6984241,-96.6216845,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=11815+Thorndale+Rd%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=wpOYo7uJZ47rL1WVvNwF51SwfMI='],75180
32093685,5109 WOODSBORO DR BALCH SPRINGS TX 75180,3,2.5,1972,2402,14026,305534,Redfin Estimate,32.6989996,-96.6187518,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=5109+Woodsboro+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=g8tlOgrW9ByHsjofur9X1fLl_co='],75180
32093739,5120 WOODSBORO DR BALCH SPRINGS TX 75180,4,2.0,1972,2801,43242,433287,Redfin Estimate,32.698169,-96.6169503,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=5120+Woodsboro+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=6vT7m2t5SR7j7hLQTcgZG4QwaJ8='],75180
32093756,13013 VERDANT  BALCH SPRINGS TX 75180,4,2.0,2020,1754,29399,391366,Redfin Estimate,32.6987972,-96.6166999,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=13013+Verdant+Ln%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=a4w1iDFxEI-g69cO5ea5p4YfCPg='],75180
32093884,2720 JILLS DR BALCH SPRINGS TX 75180,3,1.0,1953,1128,15002,175896,Redfin Estimate,32.731268,-96.6364005,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2720+Jills+Dr%2C+Balch+Springs%2C+TX+75180&size=665x441&source=outdoor&client=gme-redfin&signature=K0ee7YBOzcd2xlj5v2adVBAj8Po='],75180
