full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code,Actual,Predicted
2500 BELHAVEN DR MESQUITE TX 75150,3,3.0,1988,2023,9361,325324,32.804517,-96.6375277,75150,325324,330336
1216 RUSK DR MESQUITE TX 75149,3,1.0,1961,1778,7501,239545,32.7389788,-96.6160884,75149,239545,255627
2536 BELHAVEN DR MESQUITE TX 75150,3,2.0,1968,1736,7606,270536,32.8033143,-96.6389958,75150,270536,280606
506 N M L KING JR BLVD GRAND PRAIRIE TX 75050,3,2.0,2005,1358,6251,270536,32.746512,-97.028411,75050,270536,280606
2712 WESTVIEW DR MESQUITE TX 75150,4,2.0,1964,2057,8146,306430,32.8030051,-96.6428713,75150,306430,308641
2400 CHASEPARK DR MESQUITE TX 75181,3,2.0,2001,2212,8364,309452,32.7297981,-96.5415011,75181,309452,344469
1715 DOUBLETREE PL MESQUITE TX 75149,3,2.5,1985,1736,4173,235298,32.7797301,-96.5723957,75149,235298,287468
1612 HACKAMORE ST MESQUITE TX 75149,2,2.0,1984,1190,4400,240616,32.7765852,-96.5737719,75149,240616,239619
512 LINDO DR MESQUITE TX 75149,3,1.5,1968,1031,7200,225594,32.7613429,-96.5861932,75149,225594,215272
426 JELLISON BLVD DUNCANVILLE TX 75116,3,2.0,1983,1136,12781,225594,32.6651759,-96.915987,75116,225594,215272
6110 LUMLEY RD MESQUITE TX 75181,3,2.0,1970,1569,36155,260209,32.7011429,-96.5535903,75181,260209,252876
1215 CHELSEA CT MESQUITE TX 75149,4,2.0,1998,1652,6660,295869,32.7528418,-96.6138229,75149,295869,287284
2836 THRUSH DR MESQUITE TX 75181,3,2.5,2004,2560,7723,339112,32.7193815,-96.5365827,75181,339112,385541
518 WILLOWBROOK DR MESQUITE TX 75149,2,1.0,1955,1021,7200,198231,32.7803942,-96.6048491,75149,198231,196345
2405 AVIS ST MESQUITE TX 75149,3,1.0,1961,1392,7440,204301,32.7364356,-96.614658,75149,204301,229133
550 OXBOW ST MESQUITE TX 75149,3,2.0,1985,1440,3951,253754,32.7614103,-96.579313,75149,253754,260824
3923 FARRINGTON ST MESQUITE TX 75150,3,2.0,1981,1474,8847,262599,32.8177734,-96.6165302,75150,262599,269157
1801 ANGELINA DR GARLAND TX 75040,3,2.0,1980,1324,9875,262599,32.9257817,-96.601845,75040,262599,269157
101 RIPPLEWOOD DR MESQUITE TX 75150,3,2.0,1983,1439,13687,275079,32.7954516,-96.596463,75150,275079,267782
4859 BEDFORD DR MESQUITE TX 75150,3,1.5,1957,1442,7074,231694,32.8336777,-96.6443319,75150,231694,243882
1529 SAVANNAH ST MESQUITE TX 75149,3,2.0,1988,1192,3981,244283,32.7648954,-96.5781927,75149,244283,245769
2512 NORTHVIEW DR MESQUITE TX 75150,3,1.5,1965,1523,7379,281682,32.7969879,-96.6380697,75150,281682,254919
1916 CHIPPEWA TRL MESQUITE TX 75149,4,2.5,1992,2404,21610,403703,32.7485664,-96.5663907,75149,403703,348181
4419 CEDAR ELM LN SACHSE TX 75048,4,2.0,2003,2496,8364,403703,32.9642358,-96.5878113,75048,403703,348181
1427 CRAWFORD DR MESQUITE TX 75149,4,2.0,2000,2168,10851,369603,32.7495145,-96.5742723,75149,369603,324006
3916 MITCHELL CT SACHSE TX 75048,3,2.0,1999,2083,9588,369603,32.9592914,-96.5846993,75048,369603,324006
1106 POWELL RD MESQUITE TX 75149,2,1.0,1955,1294,6887,251718,32.7551483,-96.6265495,75149,251718,215084
1219 LANEMAR DR MESQUITE TX 75149,2,1.5,1955,1009,7200,190132,32.7808575,-96.6018867,75149,190132,201848
4715 BEDFORD DR MESQUITE TX 75150,3,1.0,1958,1318,6983,223345,32.8298881,-96.6400386,75150,223345,234477
4715 BEDFORD DR MESQUITE TX 75150,3,1.0,1958,1318,6983,223345,32.8298881,-96.6400386,75150,223345,227335
605 CURTIS DR GARLAND TX 75040,4,1.0,1961,1219,7200,223345,32.9073836,-96.616603,75040,223345,234477
605 CURTIS DR GARLAND TX 75040,4,1.0,1961,1219,7200,223345,32.9073836,-96.616603,75040,223345,227335
2424 CATALINA DR MESQUITE TX 75150,3,2.0,1966,1256,7327,286074,32.7992927,-96.6484635,75150,286074,243526
1503 HANCOCK DR MESQUITE TX 75149,3,2.0,1984,1222,5406,255965,32.7871673,-96.599592,75149,255965,245203
2304 AUSTIN DR MESQUITE TX 75181,3,2.0,1992,1758,7566,341176,32.7409338,-96.5469201,75181,341176,294287
3303 KENSINGTON DR MESQUITE TX 75150,3,2.0,1973,1693,8625,313889,32.8095735,-96.6488173,75150,313889,280514
2914 MIDBURY DR LANCASTER TX 75134,3,2.0,2006,1991,5972,313889,32.6242697,-96.8010028,75134,313889,280514
2426 MARK DR MESQUITE TX 75150,4,2.0,1963,1968,8359,271907,32.795991,-96.637777,75150,271907,301372
1402 CALADIUM DR MESQUITE TX 75149,3,2.0,1972,1233,8041,257727,32.748516,-96.579941,75149,257727,238085
2501 VAL VERDE WAY  MESQUITE TX 75181,4,3.0,2006,2766,13682,380163,32.7273549,-96.5814876,75181,380163,406300
2901 CARIBBEAN DR MESQUITE TX 75150,3,1.5,1959,1523,9056,235559,32.8346045,-96.6453312,75150,235559,251172
2108 NAROBI PL MESQUITE TX 75149,3,1.5,1961,1540,7501,235559,32.7402632,-96.6199134,75149,235559,251172
2623 RED RIVER ST MESQUITE TX 75150,3,2.0,1983,1578,7362,275294,32.8016377,-96.6181158,75150,275294,278171
2517 INDEPENDENCE DR MESQUITE TX 75150,4,2.0,1984,1777,7139,293544,32.7983188,-96.6156873,75150,293544,300220
1026 GREEN CANYON DR MESQUITE TX 75150,3,2.0,1981,2485,11330,349822,32.8159296,-96.6125685,75150,349822,344623
718 GRANADA DR DUNCANVILLE TX 75116,3,2.0,1972,2115,9374,349822,32.6547853,-96.8940637,75116,349822,344623
2520 CROOKED CREEK  MESQUITE TX 75181,3,2.0,1997,1696,7148,327533,32.7487615,-96.5584683,75181,327533,294435
1423 SANDALWOOD DR MESQUITE TX 75181,3,2.0,1990,1326,6225,270872,32.7448885,-96.543157,75181,270872,253915
3333 BRIAR LN MESQUITE TX 75181,3,2.5,1995,2137,6551,323526,32.7502737,-96.5463365,75181,323526,338095
3312 BRIAR LN MESQUITE TX 75181,3,2.5,1994,2144,5223,366950,32.7498761,-96.547249,75181,366950,337589
3301 COOL SPRINGS CIR MESQUITE TX 75181,3,2.0,1994,1436,8032,295891,32.7485264,-96.5487001,75181,295891,268118
233 HARDWOOD TRL MESQUITE TX 75150,3,2.0,1978,1415,7200,246172,32.8196576,-96.5992513,75150,246172,262884
2644 GREENLAND DR MESQUITE TX 75150,3,2.0,1961,1725,8368,309415,32.8257373,-96.636321,75150,309415,275415
