property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
32095380,603 DANCER LN LANCASTER TX 75146,3,2.0,1989,1381,11692,282976,Redfin Estimate,32.5537816,-96.7539367,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=603+Dancer+Ln%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=6fx_9t3oP32ivmWd-nyxvKbrQgo='],75146
32090249,1511 BRIARVIEW DR LANCASTER TX      ,5,2.5,2021,2422,17206,450752,Redfin Estimate,32.55973,-96.787425,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1511+Briarview+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=04DWuGtm1ooYIx79mVdVjQhWmA4='],     
32090370,1560 BROOKVIEW DR LANCASTER TX 75146,4,2.0,2006,1519,24341,321095,Redfin Estimate,32.5568223,-96.7893481,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1560+Brookview+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=WKql9gS7YrfYBSwC8PXay2n_nXQ='],75146
32090297,1708 BEAR CREEK RD LANCASTER TX 75146,3,1.0,1984,1640,17489,226646,Redfin Estimate,32.5603898,-96.7916915,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1708+Bear+Creek+Rd%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=TLv35WIqQciyX7VhHMnRMdZLPSI='],75146
32090393,1680 BROOKVIEW DR LANCASTER TX 75146,3,3.5,2017,3491,48352,570592,Redfin Estimate,32.556621,-96.792305,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1680+Brookview+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=RiVbTkU3TEeBaUmhhv-TQcY3Q-w='],75146
32090354,1540 BRIARVIEW DR LANCASTER TX 75146,4,3.0,2017,3100,34979,576032,Redfin Estimate,32.5590089,-96.7889053,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1540+Briarview+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=9lIm4XShPSIfyeXLQacBjbrHC-Y='],75146
32111167,2523 PARKERVILLE RD LANCASTER TX 75146,3,2.0,1999,2032,143748,460770,Redfin Estimate,32.5748871,-96.8069879,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2523+Parkerville+Rd%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=iKDeq1K1_12yT0E7sjHpS3xtTVs='],75146
32095373,3212 PRANCER ST LANCASTER TX 75146,4,3.0,1987,1868,40567,349073,Redfin Estimate,32.5515827,-96.7498384,['https://ssl.cdn-redfin.com/photo/90/mbphoto/953/genMid.14302953_0.jpg'],75146
32090366,1646 BROOKVIEW DR LANCASTER TX 75146,3,2.0,2009,2061,24341,399837,Redfin Estimate,32.5568993,-96.7906207,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1646+Brookview+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=UaB5NSfzwyKVC_WHwcNvprvY9Gs='],75146
32095376,3320 PRANCER ST LANCASTER TX 75146,3,2.0,1988,2432,26911,367193,Redfin Estimate,32.5531517,-96.7509257,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3320+Prancer+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=fbXjAoUtCbDA5sDgNcSVqjQ_hyQ='],75146
32113307,1678 FREDERICK ST LANCASTER TX 75134,3,1.0,1963,1766,20552,246727,Redfin Estimate,32.6174433,-96.7967968,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1678+Frederick+St%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=77YoSmRLuoc9H576bIlQhjPzoRA='],75134
32113308,1627 FREDERICK ST LANCASTER TX 75134,3,2.5,2018,2039,19763,222038,Redfin Estimate,32.6179245,-96.794809,['https://ssl.cdn-redfin.com/photo/90/mbphoto/178/genMid.13669178_2.jpg'],75134
30758795,3119 BASKIN DR LANCASTER TX 75134,4,2.5,2001,3536,20334,392937,Redfin Estimate,32.6232539,-96.7966294,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3119+Baskin+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=2ob9mwJvu51s0yho0I90JZfB9IY='],75134
32239404,1564 BRIARVIEW DR LANCASTER TX 75146,3,2.0,1985,1170,17489,223395,Redfin Estimate,32.558984,-96.787959,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1564+Briarview+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=rnmVzgHKkViHvHUXt9i5kRwPCXs='],75146
30779881,2721 WESTERN HILLS DR LANCASTER TX 75146,3,1.0,1982,1344,130244,209939,Redfin Estimate,32.5520834,-96.8115084,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2721+Western+Hills+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=voLnQaMFuRffDThuv7xjl94vmFs='],75146
32111394,2907 S HOUSTON SCHOOL RD LANCASTER TX 75146,4,2.0,1986,2354,125888,424451,Redfin Estimate,32.5531289,-96.8068204,['https://ssl.cdn-redfin.com/photo/90/mbphoto/436/genMid.10410436_0.jpg'],75146
32111264,3031 S HOUSTON SCHOOL RD LANCASTER TX 75146,3,2.0,1987,2578,152896,569251,Redfin Estimate,32.5506515,-96.8062763,['https://ssl.cdn-redfin.com/photo/90/mbphoto/205/genMid.11941205_5.jpg'],75146
32111272,2610 WESTERN HILLS DR LANCASTER TX 75146,3,2.0,1950,1600,183388,404132,Redfin Estimate,32.5508874,-96.8080133,['https://ssl.cdn-redfin.com/photo/90/mbphoto/664/genMid.14216664_0.jpg'],75146
32111168,2507 PARKERVILLE RD LANCASTER TX 75146,3,2.0,1961,1736,473933,879521,Redfin Estimate,32.5750475,-96.8056485,['https://ssl.cdn-redfin.com/photo/90/mbphoto/866/genMid.20398866_5.jpg'],75146
32113304,1651 FREDERICK ST LANCASTER TX 75134,3,1.0,1950,1000,20682,193669,Redfin Estimate,32.6178937,-96.79619,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1651+Frederick+St%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=WejLesTIbH21pjsIZMVbMLkX0r8='],75134
30758796,1638 BRUCE DR LANCASTER TX 75134,4,2.0,2005,2139,18613,323065,Redfin Estimate,32.6199363,-96.7962109,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1638+Bruce+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=p81GxuJcbfhNCs-eSLymi2mp1WY='],75134
30779884,3149 BASKIN DR LANCASTER TX 75134,3,2.0,1950,1351,21161,228481,Redfin Estimate,32.6223146,-96.7965248,['https://ssl.cdn-redfin.com/photo/90/mbphoto/918/genMid.14581918_0.jpg'],75134
30781432,3017 HENRY RD LANCASTER TX 75134,3,2.0,2007,2323,19994,333989,Redfin Estimate,32.6212761,-96.7945998,['https://ssl.cdn-redfin.com/photo/90/mbphoto/260/genMid.11895260_1.jpg'],75134
32113387,1642 BRUCE DR LANCASTER TX 75134,4,2.0,2002,2240,19271,324216,Redfin Estimate,32.6199227,-96.796462,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1642+Bruce+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=7xrDHljdFE6RF1ZeRIM15Y_fTTs='],75134
31590862,3617 HAYSTACK DR GRAND PRAIRIE TX 75052,3,2.0,1981,1682,7074,305279,Redfin Estimate,32.6853726,-97.0090645,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3617+Haystack+Dr%2C+Grand+Prairie%2C+TX+75052&size=665x441&source=outdoor&client=gme-redfin&signature=2lHzidX16rZg4fhPhkQTS3_NPDU='],75052
31594137,3309 KIRBY CREEK DR GRAND PRAIRIE TX 75052,3,2.0,1974,2108,10520,284848,Redfin Estimate,32.6897457,-97.0082038,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3309+Kirby+Creek+Dr%2C+Grand+Prairie%2C+TX+75052&size=665x441&source=outdoor&client=gme-redfin&signature=C6eeoNxeFRVxEOEWqCUBuaQlBy4='],75052
31594083,322 CAROL DR GRAND PRAIRIE TX 75052,3,2.0,1975,1594,7653,254102,Redfin Estimate,32.6886369,-97.0043898,['https://ssl.cdn-redfin.com/photo/90/mbphoto/141/genMid.11700141_3.jpg'],75052
